time,magnetizing current,I1 A,I2 A,Q1,Q2,Q3,Q4
7.4750000000000004e-06,-1.0108533419332524,-23.527288337498675,157.61504496895796,0,1,1,0
7.500000000000001e-06,-1.0465617196303905,-23.623971960007246,158.041871682638,0,1,1,0
7.525000000000001e-06,-1.0832278818018588,-23.72196882026826,158.4711865692648,0,1,1,0
7.5500000000000006e-06,-1.1209324986343217,-23.821365865744625,158.90303356977213,0,1,1,0
7.575e-06,-1.1597681658002574,-23.922262156123107,159.33745793225995,0,1,1,0
7.600000000000001e-06,-1.1998420155903051,-24.024771482310662,159.77450626704248,0,1,1,0
7.625000000000001e-06,-1.2412791091328175,-24.12902576694873,160.21422660471137,0,1,1,0
7.650000000000001e-06,-1.2842269145635385,-24.23506246711949,160.65584886789165,0,1,1,0
7.675e-06,-1.3288613268966554,-24.34293664729332,161.09852724277667,0,1,1,0
7.7e-06,-1.375394929229089,-24.452861977308345,161.5422693365548,0,1,1,0
7.725000000000001e-06,-1.424088602343756,-24.565100437791635,161.98708284813517,0,1,1,0
7.75e-06,-1.4752682968391186,-24.67997909251097,162.43297556970296,0,1,1,0
7.775000000000001e-06,-1.5293500644806834,-24.797915119953345,162.87995538830862,0,1,1,0
7.8e-06,-1.5868788966401293,-24.919454651996144,163.3280302874921,0,1,1,0
7.825e-06,-1.6485919046589343,-25.04533595450795,163.7772083489431,0,1,1,0
7.850000000000001e-06,-1.7155273297811842,-25.17659843752376,164.22749775419803,0,1,1,0
7.875e-06,-1.7892273491589912,-25.31478546149828,164.678906786375,0,1,1,0
7.9e-06,-1.8721551535896206,-25.46236141529645,165.1314438319478,0,1,1,0
7.925000000000001e-06,-1.9686820815075707,-25.62359869866476,165.58441632010033,0,1,1,0
7.95e-06,-2.087980648666678,-25.807425949156073,166.03611710342577,0,1,1,0
7.975e-06,-2.224513209987531,-26.008307044678258,166.48655684283509,0,1,1,0
8.000000000000001e-06,-2.374259978776572,-26.222223700352473,166.93574605103132,0,1,1,0
8.025e-06,-2.374259978776572,-2.374259978776572,166.2908265049134,1,0,1,0
8.050000000000001e-06,-2.374259978776572,-2.374259978776572,165.6433403690606,1,0,1,0
8.075000000000001e-06,-2.374259978776572,-2.374259978776572,164.99325679610902,1,0,1,0
8.1e-06,-2.374259978776572,-2.374259978776572,164.34059610081366,1,0,1,0
8.125000000000001e-06,-2.374259978776572,-2.374259978776572,163.6902890242086,1,0,1,0
8.15e-06,-2.374259978776572,-2.374259978776572,163.0423102556645,1,0,1,0
8.175e-06,-2.374259978776572,-2.374259978776572,162.39663493529034,1,0,1,0
8.200000000000001e-06,-2.374259978776572,-2.374259978776572,161.75323864276965,1,0,1,0
8.225e-06,-2.374259978776572,-2.374259978776572,161.11209738654992,1,0,1,0
8.25e-06,-2.374259978776572,-2.374259978776572,160.4731875933716,1,0,1,0
8.275000000000001e-06,-2.374259978776572,-2.374259978776572,159.8364860981236,1,0,1,0
8.3e-06,-2.374259978776572,-2.374259978776572,159.20286419331603,1,0,1,0
8.325e-06,-2.374259978776572,-2.374259978776572,158.57481388051846,1,0,1,0
8.350000000000001e-06,-2.374259978776572,-2.374259978776572,157.95219030675793,1,0,1,0
8.375e-06,-2.374259978776572,-2.374259978776572,157.33485479918346,1,0,1,0
8.400000000000001e-06,-2.374259978776572,-2.374259978776572,156.7226745016861,1,0,1,0
8.425000000000001e-06,-2.374259978776572,-2.374259978776572,156.11552203856013,1,0,1,0
